company,title,location,link,job_posted,description,category,source
BlueVolt,Senior Software Engineer (.NET),"Portland, OR, US",https://jobs.github.com/positions/8db5942d-34bb-44c0-8d86-31ba6a2464a6,2020-06-12 21:52:25+00:00,"Position Summary
BlueVolt is growing. We have excellent product-market fit with loyal customers. We have thousands of customer admin users and hundreds of thousands of learner users. We are known in the skilled trades for our simple, effective learning platform and strong service ethic. We help companies turn learning into a strategic asset. We build strong relationships, growing and learning from our customers as they grow and learn from us.
We're looking for someone to take on the responsibility to help develop software that customers love while working in an Agile development environment. You'll help ensure high quality standards and will work with the team to develop effective processes for managing all aspects of software development. You will be a core contributor to the platform and will participate in other software and infrastructure projects as needed.
Responsibilities

Develop software on a fully cloud-hosted SaaS product.
Design and author highly functional and aesthetically pleasing software for our product lines, including the BlueVolt LMS, web portals and other software projects.
Develop client requirements, estimate, advise upon, and deliver the appropriate solution.
Improve configuration management practices and development processes.
Develop automated tests and follow Test-Driven Development practices.
Provide technical support, training, and subject matter expertise to clients and BlueVolt employees.
Help build development team guidelines and reinforcement their practice.
Work with management and team on identifying obstacles and removing them

Requirements

5+ years of experience with the .NET platform
Excellent object-oriented design & programming skills, including the application of design patterns and avoidance of anti-patterns
Experience working in a collaborative team of application developers and source code repositories. TFS is preferred
Solid programming experience with C#, WCF, Restful services using WEB API, and ASP.NET MVC.
Experience with SQL and SQL Server Database Programming
Experience with JavaScript, JQuery, AngularJS and Angular
Experience with TDD using nUnit and MS Test, Auto Tests (Selenium is preferred)
Agile/SCRUM Software Development Process
Excellent written and verbal communication skills
Good team player

Bonus Points:  Azure expertise a Plus
Note: No H1/H1B/F1 Visa transfer sponsorship available for this opportunity, no new sponsorship applications.
Location:  Portland, OR
",,GitHub
Lawrence Berkeley National Laboratory ,Web Developer (The Materials Project) ,Berkeley,https://jobs.github.com/positions/f1759f8d-107a-4dea-8114-b561fdb586ee,2020-06-12 21:15:38+00:00,"Web Developer (The Materials Project) - 90287
Organization:  ED-Energy Storage & Distributed Resources
Berkeley Lab’s Energy Storage & Distributed Resources (ESDR) Division has an opening for a Web Developer to join the Materials Project!
In this role, you will work in a small team composed of both computer scientists and materials scientists, a team that will continue to grow and evolve as our fast-paced project pushes new boundaries. We are seeking web developers and designers who are versatile and passionate about both the front-end, ready to tackle new problems as we continue to push technology and science forward.
Be part of the revolution in scientific and technological breakthroughs brought on by advanced computing.  We are looking for someone with the desire and imagination to drive the Materials Project in new and exciting directions as the number and diversity of our simulations grow.
The Materials Project (www.materialsproject.org) is a leader in the new wave of ""data-driven science"" that is already affecting how thousands of scientists, many of them world leaders in their fields, connect, explore, and interact with information and one another. We use millions of CPU-hours a year to compute the properties of advanced new materials, and disseminate the information with web interfaces and APIs.
What You Will Do:

Develop and manage the Materials Project website: www.materalsproject.org

Develop responsive front-ends for scientists ranging from undergraduate students to senior researchers and professors.
Optimize website design for usability, scalability, and speed.
Write well designed and testable code in HTML/CSS/JS.
Employ continuous integration and deployment practices to ensure code quality and rapid development of new features.
Utilize website testing and web analytics to optimize website performance.
Develop new means of exploring, visualizing and sharing materials data.
Design and implement new “apps” for new types of materials analyses, such as assessing next-generation battery properties or stability of CO2 capturing catalysts in water.
Expand the project to new territories, such as crowdsourced discovery of new materials and ""sandboxes"" for private exploration of interesting chemical compounds.
Participate in discussions with science teams, workshops, and weekly meetings.

What is Required:

Bachelor’s Degree in Computer Science or a related discipline and a minimum of 5 years of related technical experience or an equivalent combination of education and experience.
Experience writing HTML, CSS and modern JavaScript (ES6) or TypeScript.
Experience building web sites with modern frontend web frameworks such as React, Angular, or Vue.
Experience working collaboratively using Git-based workflows.
Experience developing CI/CD pipelines for web projects.
Experience with Containerized service deployments.
Knowledge of User interface design principles and API Protocols including REST.

What We Prefer:

Master’s Degree in Computer Science or a related discipline.
Experience with mockup/wireframe/prototyping tools.
Knowledge of Authentication protocols and standards such as OAuth, OpenID and CAS.
Experience with NoSQL databases with MongoDB.
Experience with Firewall configuration.
Experience with Log analysis.

The posting shall remain open until the position is filled, however for full consideration, please apply by close of business on June 30, 2020.
This posting was updated on 06/11/2020.
Notes:

This is a full time, M-F, exempt from overtime pay (monthly paid), 1 year, Term appointment with the possibility of renewal for a total of 5 years or conversion to Career appointment based upon satisfactory job performance, continuing availability of funds and ongoing operational needs.
Salary is commensurate with experience.
This position may be subject to a background check. Any convictions will be evaluated to determine if they directly relate to the responsibilities and requirements of the position. Having a conviction history will not automatically disqualify an applicant from being considered for employment.
Work for this position will be primarily performed at Lawrence Berkeley National Lab, 1 Cyclotron Road, Berkeley, CA however the option of working remotely may be considered but is limited to individuals residing in the United States.

How To Apply
Apply directly online at http://50.73.55.13/counter.php?id=182299 and follow the on-line instructions to complete the application process.
Berkeley Lab (LBNL, https://www.lbl.gov/) addresses the world’s most urgent scientific challenges by advancing sustainable energy, protecting human health, creating new materials, and revealing the origin and fate of the universe. Founded in 1931, Berkeley Lab’s scientific expertise has been recognized with 13 Nobel prizes. The University of California manages Berkeley Lab for the U.S. Department of Energy’s Office of Science.
The ESDR Division (https://appliedenergyscience.lbl.gov/) works on developing advanced batteries and fuel cells for transportation and stationary energy storage, grid-connected technologies for a cleaner, more reliable, resilient, and cost-effective future, and demand response and distributed energy technologies for a dynamic electric grid.
Working at Berkeley Lab has many rewards including a competitive compensation program, excellent health and welfare programs, a retirement program that is second to none, and outstanding development opportunities.  To view information about the many rewards that are offered at Berkeley Lab - Click Here (https://hr.lbl.gov/).
Equal Employment Opportunity: Berkeley Lab is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, or protected veteran status. Berkeley Lab is in compliance with the Pay Transparency Nondiscrimination Provision (https://www.dol.gov/ofccp/PayTransparencyNondiscrimination.html) under 41 CFR 60-1.4.  Click here (https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm) to view the poster and supplement: ""Equal Employment Opportunity is the Law.""
Lawrence Berkeley National Laboratory encourages applications from women, minorities, veterans, and other underrepresented groups presently considering scientific research careers.
",,GitHub
Game Closure,Senior Game Engineer (REMOTE),"San Francisco, Mountain View, Tokyo, Remote",https://jobs.github.com/positions/e9e632a7-c756-40c9-b1ca-c3eb5c7f9ce3,2019-08-03 00:50:23+00:00,"GAME CLOSURE
San Francisco, Mountain View, Tokyo, Remote  -  Full Time
Game Closure is on the hunt for  Senior Game Engineers to help us build the social games that will be tomorrow’s biggest hits on Facebook and other social media platforms. We are a growing team with offices in San Francisco and Mountain View, California, Tokyo, Japan and also some possibilities for remote work. If you want to join us to make great games on our cutting­ edge technology and truly make an impact, then we want to talk to you!
Game Closure game engineers make polished, high-performance HTML5 mobile games. We want people who are proficient with JavaScript and who are passionate about making fun social games to be played by millions! As a Game Engineer at Game Closure, you will build games internally on top of our cutting-edge and open source devkit. In addition to building kick­ass instant games, you will play a pivotal role in creating a platform which will revolutionize the future of game development.
It's always a bonus if you know more than JavaScript! We write cross-compilers, GPU shaders, NodeJS back­ends, JavaScript game APIs and tools, and whatever else it takes. You will work with the best engineers in the world; we have top talent in every part of our stack.
The Role:

Be responsible for designing, developing and deploying major game features
Own game feature areas from end-­to­-end
Be the champion for the user!
Insist on the highest standards and create functional and engaging features that will delight our users
Be part of a tight game development team looking to iterate fast on a fun concept and then building it out
Have real input on end-user product
Be a key member of a high performing software engineering team
Collaborate with design, engineering and production teams to devise optimal engineering solutions to game requirements
Hands­ on architect and coder for sophisticated client/server systems for mobile gaming
Innovate and iterate on process, systems and technology to deliver world­-class social games
Be a leader; Identify and articulate technical and production risks and obstacles, as well as generate solutions!

Desired Skills:

Bachelor's degree in Computer Science or related field, or equivalent experience.
3+ years of professional software engineering experience, working on cross functional teams.
Proven effectiveness in directing or delivering production software for high quality games with at least one shipped game product of which you were a primary contributor (self­ published titles are acceptable).
Capable of JavaScript + HTML5 to create custom, interactive, user experiences that are enjoyable on all HTML5 browsers.
Proficient at using script debuggers like Chrome Debugger.
Strong Computer Science fundamentals in object­-oriented design, algorithms, and data structures.
Advanced software engineering skills, including the ability to write maintainable and robust code in a p popular object oriented language.
Solid familiarity with analytics and A/B testing in mobile games
Familiarity with git, svn or other VCS.
Self starter, analytical and creative
Strong team player with a positive attitude.
Good communication skills and the ability to work effectively on shared projects with designers, artists, testers, product managers and other developers.
Check out Everwing on Facebook Instant Games in Messenger. Can you build this game?
Understanding of the reactive UI paradigm and experience building UIs using reactive UI frameworks (such as React, and state management Utilities like Redux).

Bonus:

Canvas animation work
2+ years of game development experience with multiple shipped titles
Specialized skills in a particular area of game development (for example: UI, Physics, graphics, multiplayer, game logic, etc.)
Expert knowledge of TypeScript

GC Perks:

Medical, Dental, & Vision: Top quality insurance options with 100% of premiums covered
Social Events: Weekly team dinners, quarterly team excursions, game nights, karaoke, and more
Commuter Pass + Free Parking: Your commute and parking to the office is on us!
PTO: Unlimited vacation policy
Meals: Free daily lunches, well stocked kitchen, healthy snacks and drinks
Pet-Friendly Office: Bring your pets to work to foster a friendlier and happier workplace

",,GitHub
Defendify,Full Stack Engineer,Maine,https://jobs.github.com/positions/7e5a0fb2-7786-4a1d-839a-b6047da36f61,2020-06-05 18:53:43+00:00,"Thanks for your interest in working with us! Defendify is a fast-growing, fun-loving cybersecurity startup with a small, vibrant team based in Portland, Maine. Resourcefulness, responsiveness, problem-solving, and simplicity are values that shape who we are, what we do, and how we deliver amazing customer experiences.
We're looking for a full stack developer to join us full-time, locally and/or in a remote capacity.
This is a unique and exciting opportunity as we continue to expand the footprint of our groundbreaking, all-in-one cybersecurity platform. Every team member is a valuable contributor to our core SaaS product with day-to-day responsibilities covering a variety of development needs including building, maintaining, QA, and support for every aspect of the Defendify platform.
We are looking for a team player who:

Has a passion for solving problems and is eager to grow, learn, and tackle daily and long-term challenges and goals.
Will dig in and ask questions from users to understand requirements; make a plan; dive into an existing codebase and learn where to make changes, or where to start new code.
Is a good communicator who enjoys collaboration and thrives in a development culture that values clean code, automation and testability.
Maintains excellent knowledge of how modern web applications work, including REST API usage, application security, cloud deployment and development best practices.
Is comfortable self-directing their own work. No micro-management here!

Requirements – Experience

3+ years of Full-Stack Development experience
Has been responsible for the entire lifecycle of code in at least one project, from scratch to QA to deployment to maintenance.
Has experience implementing a RESTful API and an application which consumes it.
Is familiar with the philosophy and implementation of development automation: tests, continuous integration, cloud deployment, and frequent production releases using an Agile/SCRUM process.
Some DevOps experience is a plus.

Requirements – Technical

Experienced in JavaScript including ES6, await/async, linting and front-end frameworks. We use libraries and frameworks as needed, but you need to be able to write and understand plain JS.
Experience with Node and Browser based environments is required.
Understand REST APIs and their role in application architectures.
Experience with front end development: HTML, CSS, and familiarity with the ecosystem of related technologies (SASS, DOM). In addition, Vue (or similar framework) experience and knowledge of static site generators such as Jekyll/Hugo are helpful.
Understand how to use Git(+Hub) and GitHub Flow.
Some relational database experience is preferred. Pluses include: Experiences in relational and in-memory databases (MySQL, Postgres, Redis) as well as knowledge in generic SQL.
Some experience with Amazon Web Services (AWS), Heroku, or similar services.

Your Success
You are not alone in your role – Defendify's development team is made up of ""A"" players dedicated to your training and success. We thrive on an open-door policy and transparent management system that fosters team collaboration.
Compensation and Benefits
This is a flexible position open to candidates with varying levels of experience and offers long term growth potential via a well-defined career path. Compensation is competitive and commensurate with experience, and is variable based on personal and team performance. Our benefits package is comprehensive and includes health, dental, and vision coverage, educational reimbursement, a 401(k) program, paid time-off and more.
Love What You Do
Defendify employees enjoy a modern work environment and culture where everyone genuinely cares about the work they do. We're passionate about our product, the problems we're solving, our customers, our partners, and our team. We're in it together, enjoying work and play every day from team lunches, impromptu social outings and celebrations, and charity missions. And yes, there is coffee, lots and lots of coffee!
Opportunity Knocks
This position offers a great opportunity to make an impact as a part of a small team solving big problems, making cybersecurity possible for Small Business. Are you a creative self-starter with an appetite to learn and grow? If so, we'd love to hear from you!
",,GitHub
Kasisto,Front-End Software Engineer,New York,https://jobs.github.com/positions/90b7a228-a21f-44a1-9c44-d113e06cef9d,2020-06-03 19:36:58+00:00,"Humanizing Digital Experiences®
Kasisto’s Digital Experience Platform, KAI, is designed for financial institutions to deliver the industry’s most amazing Conversational AI powered intelligent virtual assistants to their customers. KAI is open and extensible, and also fluent in the language of banking and finance. From simple retail transactions to the complex demands of corporate banks and wealth management, financial institutions can deliver meaningful digital interactions with KAI that help build their digital brand.
Financial institutions around the world use KAI, including DBS Bank, J.P. Morgan, Mastercard, Standard Chartered, TD Bank, and Manulife Bank among others. They chose KAI for its proven track record to drive business results while improving customer experiences. The platform is used by millions of consumers around the world, all the time, across multiple channels, in different languages, and is optimized for performance, scalability, security, and compliance.
This position
We are looking for a Full-Stack, client side software engineer to help build and integrate responsive chat interfaces, analytics dashboards and reporting tools.
What you’ll be doing
Working closely with clients and internal engineering, product and design teams to gather requirements
Building and integrating front-end applications with CSS, HTML, Javascript, jQuery, Vue.js, Webpack, Handlebars.js, LESS, Backbone, Python, Django and Java
Working to improve user experience and functionality for tools
Writing testable code utilizing common front-end unit and BDD testing frameworks
What you need for this position
3+ years in client-side web development with CSS, HTML, Javascript and jQuery
Proven, full-stack front-end experience using Python and Django
Other Modern Web Framework(s) experience is a plus (React, Vue, Angular, Ember)
Experience working collaboratively to build scalable, modular, production software in an Agile environment
Experience using RESTful json services
Node.js and API development familiarity is plus
D3.js is a plus
What we offer:
Competitive compensation package
Ground floor opportunity within rapidly growing tech startup
Great collaborative team environment
Full Benefits
Fun perks
Location - NYC, Flatiron District
We welcome your cover letter with a description of your previous complete experience and your resume.  Applicants must be authorized to work in the US as we are unable to sponsor.  Kasisto is an equal opportunity employer.
",,GitHub
Lev,Senior Engineer ,NYC,https://jobs.github.com/positions/9c481778-db91-41c6-882a-05d353968cc8,2020-06-03 01:53:19+00:00,"Lev helps real estate owners and investors get the best financing for their property. We bring together Humans + Technology to provide the best in real estate capital markets advisory to our clients.
Backed by leaders in commercial real estate and venture capital, including ANIMO Ventures and Ludlow Ventures, we are excited to leverage incredible user experiences, smart technology and beautiful workflows to bring fairness and transparency to this $500+ billion industry.
We are looking for a passionate problem solver to join our (still small) engineering team.  In this role, you’ll get to wear many hats and be responsible for multiple projects including our proprietary smart lead sourcing and placing system.  You’ll also work directly with our CTO by constantly discussing, architecting, developing new features/products, and making sure they are delivered on time while functioning properly.
Our current stack consists of Python, Flask, Postgres on the backend, and React.js in the Front-end.
Roles & Responsibilities:

Write beautiful Python code that’s focused on scalability, testability, and maintainability.
Maintain and improve our Flask API which is the backbone of our platform.
Architect, design, and implement a plethora of features/products we have in the pipeline.
Collaborate with product, design, marketing, and engineering team on building features and functionality.
Perform code reviews to your teammates.
Discuss, implement, and document subjects like Engineering processes, best practices, code quality, testing, continuous integration/deployment, and more.

",,GitHub
Bombas,Software Engineer,New York,https://jobs.github.com/positions/3f87be14-2b50-4873-9c7d-e4a722a614a1,2020-06-01 21:10:22+00:00,"Job Title: Software Engineer
About Bombas:
Bombas is a comfort focused apparel brand with a mission to help those in need. The company launched in 2013, after the founders learned that socks are the #1 most requested clothing item at homeless shelters. From there, they set out to solve that problem, donating a pair of socks for every pair they sell. How do you donate a lot of socks? You sell a lot. And how do you sell a lot? You make the most comfortable socks in the history of feet. Millions of pairs sold and donated later, Bombas is continuing to innovate with new socks and apparel while creating a positive impact on the community where we all work and live.
At Bombas, comfort is heavily rooted in our DNA. While striving to provide comfort for all, we welcome and celebrate minds from all backgrounds regardless of age, color, ethnicity, gender or gender identity, genetics, physical or mental ability, protected veteran status, race, religion and sexual orientation. We highly encourage candidates of all backgrounds to apply. Come as you are and we’ll welcome you to the Hive.
About the Job:
We are looking for a product-minded and versatile team player to join our Engineering team as our Software Engineer. The ideal candidate has 3-5 years of experience in software engineering.
This is an opportunity to have direct input into the creation of foundational processes and systems that shape the future of our business. You’ll have the opportunity to work with a wide variety of stakeholders across all departments, and will serve as a key partner to our Creative, Marketing, and Product teams to help launch new product initiatives.
What you’ll be responsible for:

Refine our stack as we move to an API-first architecture and React.
Ship DRY and scalable code with a focus on performance optimization and backed by unit tests.
Work with our Product team to translate business needs into efficient and practical solutions.
Inform our enterprise architecture and help build, integrate, and maintain a growing array of internal and third-party applications and services.

What we’ll love about you:

Can balance quality with time to market to show value while building toward a longer term vision.
You care about testing and automation, and know what it means to ship high quality code.
Strong strategic problem solving - can clearly understand customer problems and business needs and translate them into innovative solutions.
Track record of leading the implementation of foundational systems.
A team player who is willing and happy to help.
Strong written and verbal communication skills.
Belief in our mission and understand the importance of giving-back.
Inquisitive, love to learn, embrace failure, and never give up.
Comfortable working in an open office environment while staying focused.

What you’ll love about us:

We are a team of smart, interesting, diverse, funny, and loving people.
We offer competitive compensation, employer paid health, medical and dental benefits, 401k with match, paid parental leave, snacks, socks and a fun, relaxed office environment.
We take the responsibility to make sure you are excited, happy, and find fulfillment in your work very seriously.
We value fun. This is why we host office lunches, offsite team outings, and two annual company retreats.
We believe in giving back to the community and helping those in need, which is why we volunteer as a team regularly.
We believe success comes from the collective effort of all, which is why all full-time employees receive equity in the business.
We offer flexible paid time off for all full-time employees. This includes unlimited vacation, sick days, and wellness days because we understand the value of health, relaxation, spending time with friends and family, and traveling the world.
We believe a healthy body equals a healthy mind, so we offer a $100 monthly health and wellness reimbursement.

What you’ll bring:

3-5 years of experience in software engineering.
Comfortable developing modern Ruby, Go, or JavaScript code.
Experience architecting and using relational databases.
Knowledge of both building internal and consuming third-party APIs and have a strong grasp of REST architecture (GraphQL a plus).
Developed and operated production applications in a Linux environment (AWS a plus).
Experience with e-commerce is a plus.

If you require reasonable accommodation in completing this application, interviewing, completing any employment testing, or otherwise participating in this hiring process, please direct your inquiries to our Director of Talent Acquisition at nick.sottile@bombas.com.
",,GitHub
BUNKR Life,Lead Product Developer,"Saint Petersburg, FL",https://jobs.github.com/positions/9819ef9f-1fb4-47aa-8c7b-34f427125d76,2020-05-29 21:01:07+00:00,"Lead Product Developer
We are hiring a senior software developer for BUNKR Life (BUNKR). BUNKR is a purpose-driven, entrepreneurial company owned and operated by a leadership team with a proven track record of building profitable global software businesses which generate great value for customers, team members, community and shareholders. Information on BUNKR's co-founder and CEO can be found at the following link - https://www.linkedin.com/in/kurt-long-8223211/
BUNKR's vision is to empower households and businesses to protect the most important information in their lives while streamlining everyday activities. We believe by doing this, people will be able to spend more time on what matters most to them in life. BUNKR is the first company of its kind to envision fully protecting and empowering consumers in their lives. Remote candidates will be strongly considered.
Below is a description of our ideal candidate for our lead software development position:

Demonstrated ability to listen, understand business needs and lead a team toward market-fit products
Outstanding communication skills with demonstrated ability to unify a team toward a common vision
Demonstrated interests outside of their career
Demonstrated ability in a rapid Agile software build environment
Comprehensive experience in use of Web APIs
Development of APIs, API First experience
Node.js development experience
UX / UI understanding
OAuth 2.0
Experience with Git, GitHub
Strong understanding of QA processes and QA automation
Experience with open source database such as MySQL
PostgreSQL experience preferred
Heroku experience a plus

BUNKR offers highly competitive financial compensation, stability, benefits as well as the ability to grow as a professional and person. We provide additional rewards those who are proven leaders.
",,GitHub
Canopy,Technical Product Manager (Core APIs),San Francisco ,https://jobs.github.com/positions/70b0f47f-2fe2-441c-a8b8-a9a578c8e235,2020-05-29 01:14:52+00:00,"This role represents a specialist who is an expert in both APIs and FinTech.
You are someone who obsesses over the experience of an API, and at the same time can balance the companies needs to accomplish the greater OKRs while still maintaining the highest level of quality.
This role will work hand in hand with our Test Lead, Engineering, Design, other subject matter experts, and our Executive team.
You are someone who knows B2B APIs.
In particular which battles to pick vs let go.
You are also someone who has deep expertise in FinTech.
You are excited to innovate in this space while meeting any and all compliance and regulatory guidelines.
You are someone who is the first person to test our upcoming features,
you are the first to read the latest publications on regulations for lending,
and you are the first to help the team break down large company objectives into things that make sense.
You balance your highly technical nature with your understanding of people and businesses.
You are someone that leads via documentation vs meetings.
You will not rest until you know more about our API than every member on the team.
What route do we have, why do we have them, what do our competitors have?
You are either an expert from day one, or have a track record of learning fast.
",,GitHub
Canopy,Test Engineer - Lead,San Francisco,https://jobs.github.com/positions/c891f6ea-463c-41b6-a424-1d2c4d649e9a,2020-05-29 01:12:29+00:00,"This role was created to work hand in hand with our product teams to design and build a testing infrastructure and series of test cases that prove our state machine and API service is up to par.
You will lead the creation and implementation of thousands of test cases in a complex and intricate fin-tech system where even a 1/10th of a penny off can cause large downstream consequences.
At this stage, Canopy is looking for someone who is both a Leader and a Performer.
It is not required, but ideally you can grow into a Director level role as the company grows.
We expect you to be an expert on modern testing tools and types of testing.
We also need you to be in the top 1% of communicators for the role and to be well versed in project management and making and following through on commitments to the team.
We expect you to have experience in both fin-tech and building and maintaining API's.
Overall when we think about this role we think about someone who is incredibly keen on details, loves challenges, loves maintaining the highest of standards, and does not compromise communication or empathy to be successful.
",,GitHub
