company,title,location,link,job_posted,description,category,source
RANDSTAD PROFESSIONALS US L P,sr. data scientist,new york,https://www.randstad.com/jobs/united-states/sr-data-scientist_new-york_18492236/,2020-06-04 00:00:00,"job summary:Our client is looking for dynamic, highly analytical data scientists to join the enterprise-wide data science center of excellence. This CoE is a critical component of our overall enterprise analytics strategy. You will be working with data engineers and analysts to find valuable insights about our industry, the market, the games, and our player communities. You will also find the best ways to turn these insights into reliable and scalable solutions for our creative and corporate teams throughout the global organization.This is a hands-on role located in New York City. : location: New York, New Yorkjob type: Permanentsalary: $170,000 - 185,000  per yearwork hours: 9am to 5pmeducation: Masters responsibilities:- Champion the use of data science, machine learning, and AI to reduce cost and increase the value of human judgment in decision making.- Work with business partners to understand how data science can help meet their business needs, formulate quantitative and measurable objectives, and guide them to actionable solutions.- Use advanced research techniques such as statistical analysis, machine learning, and data visualization to explore data, test hypotheses, identify underlying causes and patterns.- Collaborate with divisions to leverage best in breed data science practice already in place, share knowledge and create new models and algorithms to solve problems distinct to corporate (e.g. sales forecasting, promo optimization, etc.)- Develop models to identify, monitor and measure results of various key performance indicators reflecting the health of various Take-Two products in different segments of the interactive entertainment field.- Build optimization models aligned with key performance indicators that are predictive of profit for each stage of the interactive entertainment industry's life cycle.- Participate in the design and building of the data science center of excellence. qualifications:- PHD or Masters in a quantitative field (Mathematics, Computer Science, Statistics, Operational Research, Engineering, etc).- Solid understanding and professional experience in statistical analysis- Strong analytical and problem-solving skills, with experience in breaking down a complex problem into solvable components- Strong skills in data extraction, exploration, transformation and visualization- Deep understanding of best-in-class and emerging methods and techniques in data science, with a high level of analytical rigor in formulating insights and strategies- A confident, self-starter with the ability to think logically and make fact-based decisions- Able to communicate clearly and concisely - to distill clear and simple themes from complex analytical findings- Enjoy forward and critical thinking Technical Skill Requirements: skills:  - Proficient in Python and Jupiter Notebook- Experience using data science and ML libraries, such as NumPy, Pandas, SciPy and scikit-learn - Data visualization tools (e.g. MatPlotLib, Seaborn, Tableau, etc.)- Familiar with Git/Github - Operating with data at scale (e.g. Apache Spark, Snowflake, Databricks, etcEqual Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.",Information Technology,Randstad
RANDSTAD PROFESSIONALS US L P,business intelligence  analyst,"kansas city, missouri",https://www.randstad.com/jobs/united-states/business-intelligence-analyst_kansas-city_18496803/,2020-06-05 00:00:00,"job summary:Randstad Technologies is looking for a Business Intelligence Analyst in the Kansas City, MO area. In addition to empowering data-driven decisions within their assigned business unit, this role will work with the data science team to ensure the bests tools and insights are made available within the business.  As an expert in both the analytical needs of their assigned business unit and the analytics capabilities of the data science team, the analyst will be an advocate for the needs of the business unit.  In this way, the analyst will be a catalyst for the development of new tools and capabilities. location: KANSAS CITY, Missourijob type: Permanentwork hours: 8am to 5pmeducation: Bachelors responsibilities:Requirements Support the Sales Department by: - Collecting data and preparing it for analysis - Analyzing data using methods appropriate for the specific task - Communicating the results of analysis clearly and objectively - Understanding the needs of the team and providing timely, reliable analysis - Defining new data collection and analysis processes - Serve as a conduit between Sales and the Data Science Team sharing insights and advocating for new capabilities Desired Skills and Experience - strong quantitative analytical skills with the ability to collect, organize, analyze and disseminate analytical results with attention to detail, responsiveness and reliability - Ability to comprehend complex business problems - Data visualization skills and familiarity with tools like Tableau or Looker - A passion for providing analytical support in a fast-moving decision-making environment - Excellent oral, written and listening skills - Ability to work effectively as part of a team - Microsoft Excel skills - expert level recommended - Experience with SQL - Experience with Python and/or R - Familiarity with inside sales processes, marketing analytics and logistics are all pluses - Bachelor's degree in Science, Mathematics, Statistics, Economics, or other quantitative field of study - Data Analytics or Data Science emphasis is a plus qualifications:Experience level: ExperiencedMinimum 3 years of experienceEducation: Bachelors (required) skills: Data AnalysisTableauSQLPythonEqual Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.",Information Technology,Randstad
RANDSTAD PROFESSIONALS US L P,people research scientist,"menlo park, california",https://www.randstad.com/jobs/united-states/people-research-scientist_menlo-park_18440286/,2020-05-26 00:00:00,"job summary:Are you a PhD or Master with experience in a field emphasizing People Research inside of a large organization? Do you have a strong background in research,  quantitative  analysis, and data science? If so, this may be the next opportunity for you!An exciting global technology/social media company is seeking a People Research Scientist to joint their team. This person will help the organization grow and retain talent using data science along with people research and analysis to bridge the gap. The ideal candidate is someone that will see beyond the data to identify solutions to raise the bar for all things people related inside the vast organization. location: Menlo Park, Californiajob type: Contractsalary: $55 - 59  per hourwork hours: 8 to 5education: Master's Degreeexperience: 3 Years responsibilities:Apply your expertise in people research, quantitative analysis, data science and data visualization to help company grow and retain talentSee beyond the data to identify solutions that will raise the bar for all things people-relatedCollaborate with data engineering and visualization engineers to access and manipulate data, explain data gathering requirements, and display resultsPartner with HR teams on people projects to identify and clarify critical people issues, deeply understand our people processes, and analyze data to drive improvementsBring together company-specific data and outside research to help leaders understand people issuesCommunicate statistical analyses and results, along with implications, to technical and non-technical audiences qualifications:Education:PhD with 1+ years of experience, or MS with 3+ years of experience in a field emphasizing people research in organizations (e.g., Industrial/Organizational Psychology, Organizational Behavior, Labor Economics, Management, Policy Analysis, etc.)Minimum Qualifications:1+ years conducting quantitative people research in an organization or consulting environment, including working with stakeholders to understand and clarify their people research needs, and communicating analyses to technical and non-technical audiencesExperience managing and analyzing structured and unstructured data using tools such as SQL, R or PythonExperienced in survey design & analysisExperience communicating technical results to technical and non-technical audiencesPreferred Qualifications:1+ years experience with machine learning, text mining/natural language processing (NLP) or modeling high-dimensional data1+ years of experience applying multivariate statistical methods such as GLM, analysis of quasi-experimental research designs with non-equivalent groups (e.g., regression adjustment, matching, propensity score stratification), longitudinal analysis, classification, dimension reduction, clustering, hierarchical linear (random effects) modeling, etc., to people research problems in organizations1+ years of experience working internally (as opposed to consulting) in an organization with 500+ professional employees (e.g., high-tech, financial services, healthcare, biotech, etc.)Experience developing tools, conducting empirical research, practical implementation, knowledge of best practices in at least two of the following areas: employee engagement, performance management, management development, leadership development, learning and development, compensation, or retentionFor immediate consideration, please apply today! skills: StatisticsEqual Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status. Qualified applicants in San Francisco with criminal histories will be considered for employment in accordance with the San Francisco Fair Chance Ordinance. We will consider for employment all qualified Applicants, including those with criminal histories, in a manner consistent with the requirements of applicable state and local laws, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance.",Human Resources,Randstad
RANDSTAD PROFESSIONALS US L P,people research scientist,new york,https://www.randstad.com/jobs/united-states/people-research-scientist_new-york_18461604/,2020-05-26 00:00:00,"job summary:Are you a PhD or Master with experience in a field emphasizing People Research inside of a large organization? Do you have a strong background in research, quantitative analysis, and data science? If so, this may be the next opportunity for you!An exciting global technology/social media company is seeking a People Research Scientist to joint their team. This person will help the organization grow and retain talent using data science along with people research and analysis to bridge the gap. The ideal candidate is someone that will see beyond the data to identify solutions to raise the bar for all things people related inside the vast organization location: New York, New Yorkjob type: Contractsalary: $55 - 59  per hourwork hours: 8 to 5education: Master's Degreeexperience: 1 Years responsibilities:Apply your expertise in people research, quantitative analysis, data science and data visualization to help company grow and retain talentSee beyond the data to identify solutions that will raise the bar for all things people-relatedCollaborate with data engineering and visualization engineers to access and manipulate data, explain data gathering requirements, and display resultsPartner with HR teams on people projects to identify and clarify critical people issues, deeply understand our people processes, and analyze data to drive improvementsBring together company-specific data and outside research to help leaders understand people issuesCommunicate statistical analyses and results, along with implications, to technical and non-technical audiences qualifications:Education:PhD with 1+ years of experience, or MS with 3+ years of experience in a field emphasizing people research in organizations (e.g., Industrial/Organizational Psychology, Organizational Behavior, Labor Economics, Management, Policy Analysis, etc.)Minimum Qualifications:1+ years conducting quantitative people research in an organization or consulting environment, including working with stakeholders to understand and clarify their people research needs, and communicating analyses to technical and non-technical audiencesExperience managing and analyzing structured and unstructured data using tools such as SQL, R or PythonExperienced in survey design & analysisExperience communicating technical results to technical and non-technical audiencesPreferred Qualifications:1+ years experience with machine learning, text mining/natural language processing (NLP) or modeling high-dimensional data1+ years of experience applying multivariate statistical methods such as GLM, analysis of quasi-experimental research designs with non-equivalent groups (e.g., regression adjustment, matching, propensity score stratification), longitudinal analysis, classification, dimension reduction, clustering, hierarchical linear (random effects) modeling, etc., to people research problems in organizations1+ years of experience working internally (as opposed to consulting) in an organization with 500+ professional employees (e.g., high-tech, financial services, healthcare, biotech, etc.)Experience developing tools, conducting empirical research, practical implementation, knowledge of best practices in at least two of the following areas: employee engagement, performance management, management development, leadership development, learning and development, compensation, or retention skills: StatisticsEqual Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.",Human Resources,Randstad
RANDSTAD PROFESSIONALS US L P,people research scientist,"seattle, washington",https://www.randstad.com/jobs/united-states/people-research-scientist_seattle_18461631/,2020-05-26 00:00:00,"job summary:Are you a PhD or Master with experience in a field emphasizing People Research inside of a large organization? Do you have a strong background in research, quantitative analysis, and data science? If so, this may be the next opportunity for you!An exciting global technology/social media company is seeking a People Research Scientist to joint their team. This person will help the organization grow and retain talent using data science along with people research and analysis to bridge the gap. The ideal candidate is someone that will see beyond the data to identify solutions to raise the bar for all things people related inside the vast organization. location: Seattle, Washingtonjob type: Contractsalary: $55 - 59  per hourwork hours: 8 to 5education: Master's Degreeexperience: 1 Years responsibilities:Apply your expertise in people research, quantitative analysis, data science and data visualization to help company grow and retain talentSee beyond the data to identify solutions that will raise the bar for all things people-relatedCollaborate with data engineering and visualization engineers to access and manipulate data, explain data gathering requirements, and display resultsPartner with HR teams on people projects to identify and clarify critical people issues, deeply understand our people processes, and analyze data to drive improvementsBring together company-specific data and outside research to help leaders understand people issuesCommunicate statistical analyses and results, along with implications, to technical and non-technical audiences qualifications:PhD with 1+ years of experience, or MS with 3+ years of experience in a field emphasizing people research in organizations (e.g., Industrial/Organizational Psychology, Organizational Behavior, Labor Economics, Management, Policy Analysis, etc.)Minimum Qualifications:1+ years conducting quantitative people research in an organization or consulting environment, including working with stakeholders to understand and clarify their people research needs, and communicating analyses to technical and non-technical audiencesExperience managing and analyzing structured and unstructured data using tools such as SQL, R or PythonExperienced in survey design & analysisExperience communicating technical results to technical and non-technical audiencesPreferred Qualifications:1+ years experience with machine learning, text mining/natural language processing (NLP) or modeling high-dimensional data1+ years of experience applying multivariate statistical methods such as GLM, analysis of quasi-experimental research designs with non-equivalent groups (e.g., regression adjustment, matching, propensity score stratification), longitudinal analysis, classification, dimension reduction, clustering, hierarchical linear (random effects) modeling, etc., to people research problems in organizations1+ years of experience working internally (as opposed to consulting) in an organization with 500+ professional employees (e.g., high-tech, financial services, healthcare, biotech, etc.)Experience developing tools, conducting empirical research, practical implementation, knowledge of best practices in at least two of the following areas: employee engagement, performance management, management development, leadership development, learning and development, compensation, or retention skills: StatisticsEqual Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.",Human Resources,Randstad
RANDSTAD PROFESSIONALS US L P,manager of analytical services,"independence, ohio",https://www.randstad.com/jobs/united-states/manager-of-analytical-services_independence_18465009/,2020-05-27 00:00:00,"job summary:Educational/Experience Requirements1. Bachelor degree in Data Science/Analytics, Engineering, Statistics, Mathematics, or similar statistical field required with at least 8-10 years of related experience OR no degree with at least 10+ years of related experience/education resulting in demonstrated ability to perform the major duties required.2. Graduate or upper level Degree (preferably in an industry related subject, data science, engineering, systems engineering, statistical modeling of control systems) is desirable.3. A minimum of 5 years' experience in management and/or program management required including supervision of staff or direct reports is preferred.4. Ability to digest and obtain comprehensive understanding of the design and limitation of the electric power system through analysis of technical reports and Reliability Standards.5. Working knowledge in the operation or planning of the Bulk Electric System (BES) and supporting technologies, is a plus.6. Quantitative Techniques - Knowledge of and ability to use quantitative tools and techniques to measure and analyze risks.7. Predictive Analytics - Knowledge of tools, methods and processes used to make predictions; ability to use the tools, processes and practices for predicting trends and providing forecasts that drive business decisions and business planning.8. Ability to work with and analyze disparate and unstructured data and detailed information, and to draw meaningful conclusions from that information.9. Machine Learning - Knowledge of and ability to implement machine learning techniques, models and methods.10. Experience with Natural Language Processing (NLP) and/or Text Analytics.11. Regulatory experience is a plus.12. Technical Skills:- Experience with BI/Data Analysis Tools; Databases; DW/ETL Development; Scripting / Programming.- Advanced skills with tools and applications such as Power BI, Microsoft SQL Server, SQL Server Integration Services, and SQL Server Analysis Services, SQL Server Reporting Services.- Proficient in R, Python, and/or MATLAB.- Working knowledge of programming concepts, as well as analytical skills. Common programming tools include: Oracle, C++, Java, HTML, and Excel (i.e. Macro, VBA, PowerPivot, VLookup).- Proficient with Microsoft Office applications, including Word, Excel, Access, and Power Point is strongly preferred. Advanced skills in Excel with knowledge of spreadsheet functionality including v-look-up, pivot tables, charts, graphing and macros.- Broad knowledge of hardware and software.RequirementsMicrosoft Power BI, Business Intelligence and Data Warehousing (BI DW), Business Intelligence (BI) location: Independence, Ohiojob type: Permanentsalary: $120,000 - 130,000  per yearwork hours: 8am to 5pmeducation: Bachelors responsibilities:The primary purposes of this position are to plan, organize, develop, and manage the Analytics Services Department in accordance with current applicable federal, state and local standards, guidelines, and regulations as directed by FERC (Federal Energy Regulatory Commission), NERC (North American Electric Reliability Corporation) and/or the company Senior Management.  This position will work across the organization to implement and evolve the analytics function within RF by developing, managing, and driving to execution an analytics roadmap; focusing on day-to-day analytics, data warehouse and business intelligence activities  in  support of the entire organization; overseeing the design, build, test, and deployment of models, analytical methods / tools, performance scorecards, data warehouse (DW) evolution, and business intelligence capabilities, and reporting of grid reliability, security, and resiliency. qualifications:- Experience with BI/Data Analysis Tools; Databases; DW/ETL Development; Scripting / Programming.- Advanced skills with tools and applications such as Power BI, Microsoft SQL Server, SQL Server Integration Services, and SQL Server Analysis Services, SQL Server Reporting Services.- Proficient in R, Python, and/or MATLAB.- Working knowledge of programming concepts, as well as analytical skills. Common programming tools include: Oracle, C++, Java, HTML, and Excel (i.e. Macro, VBA, PowerPivot, VLookup).- Proficient with Microsoft Office applications, including Word, Excel, Access, and Power Point is strongly preferred. Advanced skills in Excel with knowledge of spreadsheet functionality including v-look-up, pivot tables, charts, graphing and macros.- Broad knowledge of hardware and software. skills:  Microsoft Power BI, Business Intelligence and Data Warehousing (BI DW), Business Intelligence (BI)1. Bachelor degree in Data Science/Analytics, Engineering, Statistics, Mathematics, or similar statistical field required with at least 8-10 years of related experience OR no degree with at least 10+ years of related experience/education resulting in demonstrated ability to perform the major duties required.2. Graduate or upper level Degree (preferably in an industry related subject, data science, engineering, systems engineering, statistical modeling of control systems) is desirable.3. A minimum of 5 years' experience in management and/or program management required including supervision of staff or direct reports is preferred.4. Ability to digest and obtain comprehensive understanding of the design and limitation of the electric power system through analysis of technical reports and Reliability Standards.5. Working knowledge in the operation or planning of the Bulk Electric System (BES) and supporting technologies, is a plus.6. Quantitative Techniques - Knowledge of and ability to use quantitative tools and techniques to measure and analyze risks.7. Predictive Analytics - Knowledge of tools, methods and processes used to make predictions; ability to use the tools, processes and practices for predicting trends and providing forecasts that drive business decisions and business planning.8. Ability to work with and analyze disparate and unstructured data and detailed information, and to draw meaningful conclusions from that information.9. Machine Learning - Knowledge of and ability to implement machine learning techniques, models and methods.10. Experience with Natural Language Processing (NLP) and/or Text Analytics.11. Regulatory experience is a plus.Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.",Information Technology,Randstad
RANDSTAD PROFESSIONALS US L P,data analyst - tableau,"camden, new jersey",https://www.randstad.com/jobs/united-states/data-analyst-tableau_camden_18374852/,2020-05-28 00:00:00,"job summary:This is an amazing opportunity with a leading edge health care firm!  In this role, you will be responsible for data analytics and development. Looking for someone that has a passion for data when it comes to using data to drive decision-making at the operational and strategic levels. Requires a leader and business liaison to work with data strategy as it pertains to ambulatory or physician operations management. location: Camden, New Jerseyjob type: Permanentsalary: $90,000 - 115,000  per yearwork hours: 9am to 5pmeducation: Bachelors responsibilities:- Lead efforts to deploy the Enterprise Analytics strategy of transforming data into actionable and timely insights that help to drive business growth operational efficiency- Lead discussions with leaders in assigned business areas to understand their analytical needs (information or business intelligence needed for operational and strategic initiatives) qualifications:- Advanced degree such as an MBA or Master's degree in relevant disciplines (e.g., Data Science, Engineering, Applied Sciences) skills:  - 5+ years of professional experience in business analytics or other quantitative discipline in a data-centric business environment, preferably within the healthcare industry- 3+ years of professional experience in ambulatory or physician operations management- Strong client engagement skills with the ability to translate strategic and operational challenges into analytical projects and actions that are solution-driven- Strong communication skills with an ability to translate complex analytical results into actionable recommendations through compelling and easy-to-digest reports and presentations- Working knowledge of various analytical and reporting tools (e.g., Tableau, Qlik, DomoEqual Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.",Information Technology,Randstad
RANDSTAD PROFESSIONALS US L P,bi developer,"west des moines, iowa",https://www.randstad.com/jobs/united-states/bi-developer_west-des-moines_18523423/,2020-05-19 00:00:00,"job summary:BI DeveloperDutiesDesign and Develop Multidimensional Cubes with SSASProficient in PowerBI and Excel ServicesReporting project progress to team leadership.Possible leadership of offshore team members.Technical Leadership for data consumption methods.Qualifications:Advanced SSAS & SQL SkillsPrevious Experience with Data Architecture ConceptsGood exposure to Development and troubleshooting Reports in PowerBI and Excel ServicesGood Verbal and Written Communication skillsPrevious experience in an agile analytics environment preferred.Proactive, problem solver and self-motivated.College Degree in the field of computer science, information science, management information systems preferredMinimum 8 years' IT development experience or equivalent preferredEffective verbal and written communications skills and the ability to communicate with business partners and other IT staffProblem solving skills sufficient to perform research and recommend a proposed solution to problemsAble to work on multiple tasks and meet established deadlinesAble to effectively direct and coordinate the work of other team members on a project without having HR management responsibility for themKnowledge of computer programming languages as required for the systemCriminal background check required.Job Summary:Under general direction, formulates and defines system scope and objectives. Devises or modifies procedures to solve highly complex problems considering computer equipment capacity and limitations, operating time and form of desired results. Prepares detailed specifications to write programs. Designs, codes, tests, debugs, documents and maintains those programs. Competent to work on and responsible for nearly all phases of applications systems analysis and programming projects. Regularly provides guidance and training to less experienced analysts/programmers.Essential Functions:Collaborate with analysts, designers, and programmers in conceptualizing and development of new software programs and applications.Perform technical tasks, detailed analyses, and interpretation of technical problems requiring expertise and/or specialized knowledge in a systematic manner; apply subject matter expertise unique to the discipline.Exhibit expert understanding of the organization's Systems Development Life Cycle.Play a leading role in the definition, development, and documentation of software's requirements, objectives, deliverables, and specifications on a project-by-project basis in collaboration with internal users and departments.Play a leading role in defining software development project plans, including scoping, scheduling, and implementation.Prepare and/or interpret business, functional, and non-functional requirements; create and maintain user-oriented applications and design specifications.Develop, test, document and implement applications according to standards and methodologies.Design, implement and maintain databases. Follow database standards and integrity controls, analyze information requirements, and develop database specifications.Plan, coordinate, and implement security measures to safeguard information resources against accidental or unauthorized modification, destruction, or disclosure.Design, run and monitor software functional and performance tests on new and existing programs for the purposes of correcting errors, isolating areas for improvement, and general debugging; administer critical analysis of test results and deliver solutions to problem areas.Recommend, schedule, and perform software improvements and upgrades.Must be on call during scheduled times and may be required to work for extended periods at night and on weekends in support of conversion, assisting in operational problems, or testing a new program.Maintain currency of professional, technical and business skills.Utilize established status report, time accounting and collaborative process to provide data for management.Exhibit expert understanding of application, data, and integration, plus deep understanding of security, operational, and systems management architectural and design domains.Meet with decision makers, systems owners, and end users to define business requirements and systems goals, and identify and resolve business systems issues.Ensure compatibility and interoperability of in-house computing systems.Review and analyze the effectiveness and efficiency of existing systems and develop strategies for improving or further leveraging these systems.Create and describe system design and models utilizing commonly used industry mechanisms like E-R Diagrams, UML models, flow charts, etc.Perform cost-benefit and return on investment analysis for proposed systems to aid management in making implementation decisions.Direct research on emerging application development software products, languages, and standards in support of procurement and development efforts.Liaise with company's software and hardware suppliers for prompt rectification of any problems or emergencies.Take an active role in cross-departmental projects when needed.Cultivate and disseminate knowledge of application development best practices; Train, mentor, and provide guidance to junior software development staff.Oversee the quality assurance of program logic, data processing, and error resolution.Commitment to embrace SFG shared values (Respect, Accountability, Integrity, and Openness)As stated within the Company Attendance and Punctuality policy, regular attendance is required and expected in order to meet the business service levels and workflow demands. location: West Des Moines, Iowajob type: Permanentsalary: $80,000 - 105,000  per yearwork hours: 8am to 4pmeducation: Bachelors responsibilities:Essential Functions:Collaborate with analysts, designers, and programmers in conceptualizing and development of new software programs and applications.Perform technical tasks, detailed analyses, and interpretation of technical problems requiring expertise and/or specialized knowledge in a systematic manner; apply subject matter expertise unique to the discipline.Exhibit expert understanding of the organization's Systems Development Life Cycle.Play a leading role in the definition, development, and documentation of software's requirements, objectives, deliverables, and specifications on a project-by-project basis in collaboration with internal users and departments.Play a leading role in defining software development project plans, including scoping, scheduling, and implementation.Prepare and/or interpret business, functional, and non-functional requirements; create and maintain user-oriented applications and design specifications.Develop, test, document and implement applications according to standards and methodologies.Design, implement and maintain databases. Follow database standards and integrity controls, analyze information requirements, and develop database specifications.Plan, coordinate, and implement security measures to safeguard information resources against accidental or unauthorized modification, destruction, or disclosure.Design, run and monitor software functional and performance tests on new and existing programs for the purposes of correcting errors, isolating areas for improvement, and general debugging; administer critical analysis of test results and deliver solutions to problem areas.Recommend, schedule, and perform software improvements and upgrades.Must be on call during scheduled times and may be required to work for extended periods at night and on weekends in support of conversion, assisting in operational problems, or testing a new program.Maintain currency of professional, technical and business skills.Utilize established status report, time accounting and collaborative process to provide data for management.Exhibit expert understanding of application, data, and integration, plus deep understanding of security, operational, and systems management architectural and design domains.Meet with decision makers, systems owners, and end users to define business requirements and systems goals, and identify and resolve business systems issues.Ensure compatibility and interoperability of in-house computing systems.Review and analyze the effectiveness and efficiency of existing systems and develop strategies for improving or further leveraging these systems.Create and describe system design and models utilizing commonly used industry mechanisms like E-R Diagrams, UML models, flow charts, etc.Perform cost-benefit and return on investment analysis for proposed systems to aid management in making implementation decisions.Direct research on emerging application development software products, languages, and standards in support of procurement and development efforts.Liaise with company's software and hardware suppliers for prompt rectification of any problems or emergencies.Take an active role in cross-departmental projects when needed.Cultivate and disseminate knowledge of application development best practices; Train, mentor, and provide guidance to junior software development staff.Oversee the quality assurance of program logic, data processing, and error resolution.Commitment to embrace SFG shared values (Respect, Accountability, Integrity, and Openness)As stated within the Company Attendance and Punctuality policy, regular attendance is required and expected in order to meet the business service levels and workflow demands. qualifications:Experience level: ExperiencedMinimum 8 years of experienceEducation: Bachelors skills: SSASPower BISQL codingdata sciencepredictive modelingdata AnalyticsEqual Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.",Information Technology,Randstad
RANDSTAD PROFESSIONALS US L P,emerging technology program leader - ai ml - director level,new york,https://www.randstad.com/jobs/united-states/emerging-technology-program-leader-ai-ml-director-level_new-york_18476011/,2020-06-01 00:00:00,"job summary:Our client, a mid-sized global Fintech company in NYC is growing their Emerging Technology group to support the build-out of disruptive AI and machine learning solutions - involving the integration of new data sources, optimizing data structure and availability, developing Natural Language Processing (NLP) capabilities, and driving the overall advancement of the company's data & analytics environment. location: New York, New Yorkjob type: Permanentsalary: $175,000 - 185,000  per yearwork hours: 9am to 5pmeducation: Bachelors responsibilities:The Emerging Technology Team objectives are:Provide AI/ML vision and strategyManage external AI/ML relationshipsCoordinate the utilization of external vendors to deliver AI/ML solutionsCommunications - share AI/ML progress and developmentsScale and expand the existing RPA programLead and support internal Data Science ChallengeThe Emerging Technology Team is looking for an experienced Consultant who can help support the governance, coordination and tracking of Emerging Technology related initiatives. qualifications:Strategy Development:Support the Head of Emerging Technology in defining the long term vision of Fitch for Emerging Technology related initiativesWork closely with Business AI/ML teams and support Emerging Technologies related initiatives across the organizationWork closely with IT Infrastructure and Businesses to ensure proper support for AI/ML experimentsManagement of internal programs:Closely monitor the initiatives and progress updates within Fitch for AI/ML and RPA projectsAssist with the planning and execution of the internal Data Science ChallengeHelp put together the Business Cases, as neededVendor and 3 rd  Party Partnerships:Help establish screening/governance procedures to prioritize opportunitiesHelp manage the external AI/ML relationshipsLead and support other Group level initiativesThe Emerging Technology Team is looking for an experienced Consultant who can help support the governance, coordination and tracking of Emerging Technology related initiatives. skills: 7+ years of experience as a Consultant with focus on Digital/InnovationIT strategy & consulting experience a plusStrong communication skills;Strong ability to engage with multiple business leaders across the companyEffective collaborator  and is comfortable working in ambiguity and coming up with ideas and directionKnowledge of new technologies and general applicability within the Financial Services, specifically around the Credit processSolid knowledge of the fintech ecosystemEqual Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.",Information Technology,Randstad
RANDSTAD PROFESSIONALS US L P,fullstack data engineer,new york,https://www.randstad.com/jobs/united-states/fullstack-data-engineer_new-york_18443981/,2020-05-21 00:00:00,"job summary:Our client is currently seeking a qualified individual to help shape the future of Clinical Studies with data driven products and services. Our data platform is growing and constantly improving, and we are looking for a motivated and experienced lead data engineer. location: New York, New Yorkjob type: Permanentsalary: $100,000 - 200,000  per yeareducation: Bachelors responsibilities:Be the technical lead engineer on a team of data engineers responsible for data aggregation, transformation, modeling and delivery for both client usage and internal data science teamsFull-stack design, development, and operation of core data capabilities like data lake, data warehouse, data marts and data pipelinesOwn the team's roadmap and project planning process, partnering with stakeholders to develop business objectives and translate those into actionFull accountability for one or more data assetsWork with data architects to develop data flows and align to platform integration standardsBuild data flows for data acquisition, aggregation, and modeling, using both batch and streaming paradigmsConsolidate/join datasets to create easily consumable, consistent, holistic informationEmpower other data teams, data scientists and data analysts to be as self-sufficient as possible by building core capabilities as services and developing reusable library codeEnsure efficiency, quality, resiliency of the core data platform   qualifications:Undergraduate or graduate degree in a technical or scientific field, such as Computer Science, Engineering, Mathematics, or similar5+ years professional experience as a data engineer, software engineer, data analyst, data scientist, or related roleAnalytically minded and detail-oriented: you actually like working with data, looking for patterns and outliers, establishing data models, and finding the best answers to business & technology problemsExpertise in data engineering languages such as Java, Scala, Python, SQLData modeling and data governance experience; you've designed and implemented data marts, data warehouses or other large-scale data management systemsExperience building ETL and data pipelines, both with traditional ETL solutions like Pentaho, SSIS, Talend but also via code-oriented systems like Spark, Airflow or similarCloud-oriented with strong understanding of SaaS modelsExperience operating in a secure networking environment, leveraging separate production support and SRE teams is a plusYou have a bias towards automation, an Agile/Lean mindset and embrace the Devops cultureFamiliarity with streaming/messaging technologies like Kafka, Kinesis, Spark Streaming,Familiarity with visualizing data with Tableau, Business Objects, Quicksight, PowerBI and similar toolsProficiency in statistics and data science is a nice-to-have, and interest in learning these is even betterExperience with clinical trial data is not required, but interest to learn and understand it is a mustHadoop/Spark and Graph/RDF/Ontologies experience a plus skills: Excellent technical documentation and writing skillsGreat customer focus and strong technical troubleshooting skillsEqual Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.",Information Technology,Randstad
