Fiscal Year,Employer,Initial Approvals,Initial Denials,Continuing Approvals,Continuing Denials,NAICS,Tax ID,State,City,ZIP
2019,SOUTHERN CARPET HARDWOOD & TILE IN,1,0,0,0,23,,AL,BIRMINGHAM,35209
2019,UAB HEALTH SYSTEM,0,0,0,1,56,,AL,BIRMINGHAM,35233
2019,BIRMINGHAM VA MEDICAL CENTER,0,0,1,0,62,,AL,BIRMINGHAM,35233
2019,GESTAMP ALABAMA LLC,1,0,0,0,33,,AL,MC CALLA,35111
2019,ARKANSAS HEALTH GROUP,0,0,1,0,62,,AR,LITTLE ROCK,72211
2019,UNIV OF ARKANSAS AT MONTICELLO,1,0,0,0,61,,AR,MONTICELLO,71656
2019,CAVE CREEK UNIFIED SCH DIST 93,1,0,0,0,61,,AZ,CAVE CREEK,85327
2019,PARADIGM TECH CONSULTING LLC D/B/A,1,0,1,0,54,,AZ,SCOTTSDALE,85260
2019,ATRONIX INC,0,0,1,0,33,,AZ,TUCSON,85706
2019,ADVANCED ONCOLOGY GROUP LLC,1,0,0,0,62,,CA,ARCADIA,91007
2019,TC SPOILERS INC,0,0,1,0,44,,CA,CITY OF INDUSTRY,91744
2019,APEXLOGISTICS INTL SFO INC,0,1,0,0,54,,CA,COMPTON,90221
2019,GUTHY RENKER LLC,0,0,1,0,54,,CA,EL SEGUNDO,90245
2019,INFORMATIVE RESEARCH INC,0,0,1,0,56,,CA,GARDEN GROVE,92843
2019,CALIFORNIA STATE UNIV EAST BAY,0,0,1,0,61,,CA,HAYWARD,94542
2019,FRIENDLY FRANCHISES CORPORATION,0,0,1,0,99,,CA,LA PALMA,90623
2019,BRANDMAN UNIVERSITY,1,0,0,0,61,,CA,LOS ANGELES,90008
2019,CHA HOLLYWOOD MEDICAL CENTER D/B/A,0,0,1,0,62,,CA,LOS ANGELES,90027
2019,DOTUM OYENUGA D/B/A ANALYSIS & SOL,0,1,0,0,54,,CA,LOS ANGELES,90034
2019,AZUSA PACIFIC UNIV,1,0,0,0,61,,CA,LOS ANGELES,90048
2019,KRANZ & ASSOCIATES HOLDINGS LLC,0,0,1,0,54,,CA,MENLO PARK,94025
2019,TANG ADVISORS LLC,1,0,0,0,52,,CA,SAN DIEGO,92121
2019,VSP SD CAPITAL PARTNERS I LLC D B,1,0,0,0,61,,CA,SAN DIEGO,92127
2019,NIESAR & VESTAL LLP,1,0,0,0,54,,CA,SAN FRANCISCO,94105
2019,IRONCLAD INC,1,0,0,0,54,,CA,SAN FRANCISCO,94107
2019,ROYAL BUSINESS BANK,0,0,1,0,52,,CA,SAN GABRIEL,91776
2019,FOOTHILL HEALTH CENTER D/B/A FOOTH,0,0,1,0,62,,CA,SAN JOSE,95127
2019,EOCELL INC,0,0,1,0,54,,CA,SAN JOSE,95131
2019,QUANTUM SECURE,1,0,0,0,51,,CA,SAN JOSE,95134
2019,AGISTIX INC,0,0,1,0,54,,CA,SAN MATEO,94402
2019,INTELLITIME SYSTEMS CORP,0,1,0,0,51,,CA,SANTA ANA,92701
2019,PYXEDA INC,1,0,0,0,54,,CA,SANTA CLARA,95054
2019,NEXTOGEN INC,0,1,0,0,54,,CA,SUNNYVALE,94086
2019,TEMPO COMMUNICATIONS INC,0,0,2,0,33,,CA,VISTA,92081
2019,BPO SYSTEMS INC,0,0,1,0,54,,CA,WALNUT CREEK,94598
2019,EVALUATOR GROUP INC,1,0,0,0,54,,CO,BOULDER,80301
2019,WHOLE HEMP CO D/B/A FOLIUM BIOSCIE,0,0,1,0,32,,CO,COLORADO SPRINGS,80915
2019,TTEC SERVICES CORPORATION,0,0,1,0,54,,CO,ENGLEWOOD,80112
2019,CABLE MANAGEMENT LLC,1,0,0,0,33,,CT,MERIDEN,06450
2019,THE ELECTRIC HEATER CO D/B/A HUBBE,0,1,0,0,33,,CT,STRATFORD,06615
2019,CRITICAL MIX,0,0,1,0,54,,CT,WESTPORT,06880
2019,DISTRICT OF COLUMBIA PUBLIC SCHOOL,2,0,1,0,61,,DC,WASHINGTON,20002
2019,UNIV OF THE DISTRICT OF COLUMBIA,0,0,1,0,61,,DC,WASHINGTON,20008
2019,FLORIDA ATLANTIC UNIV,0,0,1,0,61,,FL,BOCA RATON,33431
2019,VEETHREE ELECTRONICS & MARINE LLC,0,0,1,0,33,,FL,BRADENTON,34203
2019,JC MACHINE WORKS CORP,0,0,1,0,23,,FL,DORAL,33178
2019,JUDGE SOFTWARE PROF INC,0,0,1,0,54,,FL,JACKSONVILLE,32258
2019,D AQUILA ADVISORS LLC,1,0,0,0,54,,FL,JACKSONVILLE BEACH,32250
2019,V3 USA INC,0,0,1,0,54,,FL,MAITLAND,32751
2019,GOUSSE UROLOGY LLC,0,1,0,0,62,,FL,MIAMI,33131
2019,GONZALEZ ARCHITECTS,0,0,1,0,54,,FL,MIAMI,33134
2019,ENTOPSIS LLC,0,0,1,0,54,,FL,MIAMI,33166
2019,RADISE INTL L C,1,0,0,0,54,,FL,RIVIERA BEACH,33404
2019,RUVOS LLC,1,0,0,0,54,,FL,TALLAHASSEE,32312
2019,DEFENSESTORM INC,1,0,0,0,51,,GA,ALPHARETTA,30005
2019,JD CONSULTING INC,0,0,0,1,54,,GA,ATLANTA,30326
2019,JDC CONSULTING SOLUTIONS LLC,0,0,1,0,54,,GA,ATLANTA,30328
2019,BRANDSCAPES WORLDWIDE CONSULTANCY,1,0,0,0,54,,GA,ATLANTA,30346
2019,CRYOOCYTE INC,1,0,0,0,54,,GA,ATLANTA,30361
2019,XION TECHNOLOGIES INC,0,0,1,0,54,,GA,DULUTH,30097
2019,COVENANT COLLEGE,0,0,1,0,61,,GA,LOOKOUT MOUNTAIN,30750
2019,MICROMERITICS INSTRUMENT CORPORATI,0,0,1,0,33,,GA,NORCROSS,30093
2019,SNF HOLDING COMPANY,1,0,0,0,32,,GA,RICEBORO,31323
2019,ARCUS TECHNOLOGIES DBA KAT TECH S,1,0,0,0,54,,IL,ARLINGTON HEIGHTS,60005
2019,AVEXIS INC,0,0,1,0,54,,IL,BANNOCKBURN,60015
2019,COMMUNITY CONSOLIDATED SCH DIST NO,1,0,0,0,61,,IL,BLOOMINGDALE,60108
2019,FOODA INC,1,0,0,0,49,,IL,CHICAGO,60606
2019,OPEN DATA GROUP INC,1,0,0,0,54,,IL,CHICAGO,60606
2019,FOODA INC,1,0,0,0,72,,IL,CHICAGO,60606
2019,CHICAGO ORNAMENTAL IRON INC,1,0,0,0,33,,IL,CHICAGO,60609
2019,JOHN H STROGER JR HOSPITAL OF COOK,0,0,4,0,62,,IL,CHICAGO,60612
2019,CHICAGO CITY SOCCER CLUB,0,0,1,0,61,,IL,CHICAGO,60613
2019,CRYSTAL LAKE SCHOOL DISTRICT 47,2,0,0,0,61,,IL,CRYSTAL LAKE,60014
2019,LAUNCHPOINT VENTURES LLC D B A LAU,0,0,1,0,51,,IL,ITASCA,60143
2019,ASOFT CONSULTING LLC,0,0,1,0,54,,IL,NAPERVILLE,60563
2019,GRAYCOR CONSTRUCTION COMPANY INC,0,0,1,0,23,,IL,OAKBROOK TERRACE,60181
2019,PS3 TOOL MOLD & ASSEMBLY LLC DBA F,1,0,0,0,33,,IL,SAINT CHARLES,60174
2019,CYBERBRIDGE INTERNATIONAL INC,1,0,0,0,99,,IL,SCHAUMBURG,60173
2019,ARGON MEDICAL DEVICES INC DBA MANA,1,0,0,0,33,,IL,WHEELING,60090
2019,AURORA SPECIALTY TEXTILES GROUP IN,1,0,0,0,33,,IL,YORKVILLE,60560
2019,COMMUNITY CARE NETWORK INC & ITS A,1,0,0,0,62,,IN,EAST CHICAGO,46312
2019,INDIANA INTERNAL MED CONSULTANTS,0,0,1,0,62,,IN,GREENWOOD,46143
2019,KOSCIUSKO MEDICAL GROUP LLC,0,0,1,0,62,,IN,WARSAW,46580
2019,BEREA COLLEGE,0,0,1,0,61,,KY,BEREA,40404
2019,MOREHEAD STATE UNIVERSITY,0,0,1,0,61,,KY,MOREHEAD,40351
2019,PRIME OCCUPATIONAL SERVICES LLC,0,0,1,0,62,,LA,BATON ROUGE,70817
